ID,Title,Description
17,"NASA Spanish-language Journalism, Multimedia, Social Media Intern","NASA invites native Spanish-speaking students working towards degrees in journalism, communications, media relations, marketing, science writing, convergence journalism, or broadcast journalism to participate in our science storytelling program. You'll gain on-the-job experience as you work with a leading team of writers and multimedia producers to create and share content from NASA's most excitin..."
18,On-Orbit Satellite Servicing R&D,"NASA and other government agencies are interested in the emerging field of in space propellant transfer. To achieve this, several technologies require development to endure the launch and space environments. The intern will be supporting ongoing hands-on fluids testing in the KSC Vehicle Assembly Building, analysis, and the general research and development of hardware related to on orbit satellit..."
19,Engineering Cost Team Internship,"The student will perform research into estimating the cost of Space nuclear propulsion systems to inform reactor and non-nuclear engine studies. Project Cost Estimating Capability (PCEC) and SEER-H will be used during the estimating effort. Research will include historical nuclear systems, current efforts both NASA and DoD, as well as some DOE program developments. Additional effort may be expende..."
20,Supercomputing of Advanced Air Vehicles,"The high-fidelity Computational Fluid Dynamics (CFD) team at the computational physics branch within the NASA Advanced Supercomputing Division is seeking summer interns to assist in the study, design, and development of future advanced air mobility vehicles. Using NASA’s supercomputers, interns will support geometry development, computational analysis, and post-processing for different multi-rotor..."
21,The PolCube CubeSat polarimeter,"A student will learn to run and apply the PolCube-MAPP algorithm to study sensitivity to spherical and non-spheroidal aerosols from the future PolCube satellite instrument. Polarimetry is a passive, remote-sensing technique that provides unparalleled capabilities for characterizing atmospheric aerosols. Aerosol particles in the atmosphere are highly variable and depend greatly upon their source (e..."
22,DFR - Analysis of Risks and Hazards in Operational Approvals and Procedures,"Emerging aviation includes the use of small Unmanned Aerial Systems (UAS) in novel operations. The manufacture and operation of these small UAS are not as regulated as today’s commercial operation, and their widespread use introduces new risks and hazards to the general public. Today, there are case-by-case approvals for sUAS operations, particularly for emergency response operations in which the ..."
23,ASRS - Mining Emerging Safety Threats in the NASA Aviation Safety Reporting,"The NASA Aviation Safety Reporting System (ASRS) is a voluntary confidential aviation safety reporting system. The ASRS receives reports from pilots, air traffic controllers, flight attendants and others involved in aviation operations which reports are subsequently de-identified and coded by ASRS expert safety analysts. The goal of this project is to identify, evaluate and improve existing proces..."
24,UAMC - Identifying Highways in the Skies for Urban Air Mobility,"Urban centers have begun encouraging novel aviation missions to transport goods and people for relatively short distances and at low altitudes over dense populations. These novel aviation missions, known collectively as Urban Air Mobility or UAM, require community consensus and potentially airspace rules in order to enable the scale of operations that are envisioned. Small piloted air vehicles tha..."
25,ESEA - Equity Strategies for Emerging Aviation,"Recent advances in electric propulsion and automation have enabled emerging aviation concepts that have the potential to radically change the way people and cargo move from place to place. Current startup companies in the United States are proposing: * passenger-carrying air vehicles that can move people between different urban areas 2-10 times faster than today’s transportation, at lower envir..."
26,Battery Material Intern,"Batteries are electrochemical devices that convert chemical energy into electrical energy and are an important technology for providing mobile electric power. Future NASA aerospace and planetary exploration missions will require advanced aerospace power technologies to provide safe, reliable, and highly efficient electrical power and next generation batteries pose a promising solution for providin..."
27,Onsite - Small Satellite Platform Development and Modeling Intern,The scope of this project is to develop a platform to fly small spacecrafts to perform scientific experiments and technology development activities aboard aircrafts. This capability will provide a platform to supplement or provide additional capabilities to that of balloon or suborbital flights. The small satellite payloads will be mounted to the aircraft via a carrier to achieve the maximum scien...
28,Virtual: Machine Learning for Multi-Sensor Fire and Smoke Detection in ODIN,We are looking for an intern with experience in machine learning and computer science to help improve existing smoke and fire detection. Ideal candidate is passionate about mitigating the effects of wildfires and experienced with building computer vision and image processing machine learning models. The specific problem will involve: building camera specific models for smoke/fire detection using a...
29,Virtual - Small Satellite Costing Model Development,"The scope of this project is to develop a web-based small satellite costing model application to assist those in academia, industry, and government to develop a budget to accompany a proposal to a NASA solicitation where the project is related to small satellite mission, technology, and/or instrument development. The intent of this web application is to help enable potential Principal Investigator..."
30,Gateways to Blue Skies Aeronautics Internship,"To be considered for this position, students must be on a team selected as a finalist in the 2024 Gateways to Blue Skies: Advancing Aviation for Natural Disasters competition. View details of Gateways to Blue Skies (aka, Blue Skies) at www.blueskies.nianet.org. In 2024, the Blue Skies competition challenged teams of university-level students to conceptualize, in terms of feasibility and viability,..."
31,Sustainable Composite Materials for Aircraft,"Our planet is undergoing significant and concerning changes, marked by rising temperatures, increasingly severe storms, and other concrete indicators. Without decisive action, we may approach a critical threshold beyond which the damage to our environment becomes irreversible. In response to this urgent challenge, NASA is committed to pioneering technological innovations that can shift our depende..."
32,Orion Backup Flight Software Internship,"As an intern on the Orion Backup Flight Software (BFS) team, you will be responsible for testing flight software algorithms for the Orion Backup Flight Software system. You will be responsible for learning the applicable software requirements, understanding the integrated system design, and learning the toolchains associated with development and testing of software. The particular tasking is flexi..."
33,Materials Processing for Space Nuclear Propulsion,"This hands-on opportunity involves processing, characterizing, and testing novel materials for NASA Space Nuclear Propulsion applications. Experience with nuclear materials in not a requirement. The EM32 Advanced Processes team is looking for a few candidates to fabricate fuel and surrogate fuel materials into elements. The elements will then be characterized and tested in our onsite laboratori..."
34,Development of Materials and Manufacturing Processes for Space Flight Structures,"Development of Materials and Processes for In Space Manufacturing, Habitation, and Launch Vehicle Applications. This hands-on opportunity involves the development of materials and processes for In-Space Manufacturing, Habitation, and Launch Vehicle Applications. The opportunity involves hands-on development in a laboratory or large-scale manufacturing environment. The intern may be exposed to..."
35,Remote Sensing for Disaster Applications - On-site,"The Earth Science Branch at Marshall Space Flight Center has supported the use of remote sensing and other NASA information in response to natural hazard monitoring and disaster response since 2011, and continues this work in support of NASA's Disaster Response Coordination System, or DRCS. To address disaster response needs, Marshall scientists engage in a number of research and application deve..."
36,Remote Sensing for Disaster Applications - Virtual,"The Earth Science Branch at Marshall Space Flight Center has supported the use of remote sensing and other NASA information in response to natural hazard monitoring and disaster response since 2011, and continues this work in support of NASA's Disaster Response Coordination System, or DRCS. To address disaster response needs, Marshall scientists engage in a number of research and application deve..."
37,"Office of Technology, Policy, and Strategy - Technology Internship Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p..."
38,Materials Engineering - Extrusion & Characterization Thermoplastic Composites,"An impending shift in high voltage cable insulation technologies available to NASA engineers necessitates the development of new materials to address existing technology gaps. As a result of growing PFAS bans, materials and products containing fluorinated compounds that took decades worth of data to qualify for aerospace applications will no longer be commercially available. The development of hea..."
39,Aircraft Design and Optimization in Aviary,"NASA has released an open-source aircraft design and optimization tool called Aviary (https://github.com/OpenMDAO/Aviary). Over the course of this internship, students will use Aviary to model novel and traditional aircraft or aircraft subsystems, test Aviary features, and contribute to Aviary software development by filling bug reports and submitting fixes. Examples of the work that previous inte..."
40,"Office of Technology, Policy, and Strategy - Policy Internship Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p..."
41,"Office of Technology, Policy, and Strategy - Economic Analysis Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p..."
42,GLOBE Air Quality Campaign Analysis for In-service Teachers,"This opportunity is for a GLOBE atmosphere trained in-service middle or high school teacher who is participating in the GLOBE US Air Quality Campaign. The teacher will participate in analysis of the campaign data and interact with GLOBE teachers and NASA GLOBE scientists, in addition to providing any lessons learned during the campaign. Applications open to in-service teachers ONLY."
43,Aircraft Conceptual Design for Advanced Air Mobility,"'Intern position available within the Advanced Air Mobility team in the Aeronautics Systems Analysis Branch of the Systems Analysis and Concepts Directorate. The intern will support conceptual design, computational analysis, and experimental design for Advanced Air Mobility vehicles and related technologies. Work conducted by the intern will contribute directly to NASA projects which seek to inves..."
44,"Thermosphere Nano-sat Spectrometer HW and Systems Development for the TES-21,22","This project is a FT on-site internship working on the design, fabrication, programming, for a Thermosphere Test Probe in a nano-satellite format. It is to be launched later in 2024 on a Falcon 9 mission. Also, there is a related Entry Test Probe in development . Preferred candidates will be a UG junior/senior, or G student, and have experience in scientific and micro-processor programming (in..."
45,SMA Systems Engineer (Summer 2025),"The potential intern will work within the Safety & Mission Assurance (SMA) Directorate’s innovative and technically diverse, Quality & Flight Equipment Division (NT). The new team member will gain an understanding of the SMA mission while contributing to meaningful projects in support of JSC’s newest and most exciting Programs and Projects. Interns will be challenged to innovate and improve sever..."
46,Aeronautics at Ames Research Center Summer 2025,"Ames Aeronautics Overview The Aeronautics Directorate is enabling dramatic improvements in aeronautics during the 21st century. For decades, the Directorate has developed and transferred new technologies that directly benefit the entire aviation community, including the public. Aeronautics improvements will be particularly important over the next several decades because of the increased number o..."
47,Explorations Technology at Ames Research Center Summer 2025,"The Exploration Technology Directorate invents, develops, and implements technologies that NASA uses to gather scientific knowledge and explore space. Our four divisions provide leadership in information technology and computational science, deliver advanced human-centered software solutions for space exploration and aviation, provide supercomputing and other advanced computing services to NASA-fu..."
48,Science Internship at Ames Research Center Summer 2025,"NASA's Ames Research Center Science Directorate conducts basic and applied research, and technology development, in support of NASA astrobiology, astrophysics, planetary sciences, biological sciences and Earth sciences. We are home to NASA’s Mars Climate Modeling Center and the NASA Earth Exchange. Students may apply to work in any of our 3 core research divisions: Earth Sciences, Space Bioscienc..."
49,Data & Analytics Intern,"About AETC: The Aerosciences Evaluation and Test Capabilities (AETC) Portfolio Office executes strategic efforts to preserve and enhance research and test capabilities for NASA’s world-class portfolio of national wind tunnel facilities. AETC assets include capabilities in the subsonic, transonic, supersonic, hypersonic speed regimes and propulsion test facilities at the Ames, Glenn, and Langley R..."
50,"Test, Project, or Design Engineer","Support the Systems Test Branch (EC4) at the Johnson Space Center as a project engineer providing unique solutions to test NASA mission hardware and improve laboratories to meet agency future goals. EC4 has a variety of facilities to test hardware and is unique in supporting human exploration and hazardous testing of humans (astronauts and test subjects) in our thermal, vacuum, and space simulatio..."
51,Acoustic testing support summer 2025,"This in-person position will support the structural dynamics test branch at MSFC which performs vibration, acoustic, shock, and modal testing for spaceflight hardware. The summer 2025 internship will primarily support ongoing upgrades for payload acoustic acceptance testing but will also support vibration, modal, and acoustic testing as needed. The intern will work with analysts and test engine..."
52,Aerospace Energy Storage Materials and Solutions,"The student is expected to carry out chemical preparations and characterizations of energy storage materials for electrolytes and electrodes, process and fabricate various battery cell components such as electrodes and separator layers, and assemble and conduct electrochemical tests of battery cells. The student should have good self-motivation with basic knowledge about chemistry and materials, p..."
53,Correlated Electromagnetic Levitation Actuator (CELA),"CELA is a technology development project using magnets in a new way to create a frictionless direct-drive reaction sphere. This project requires the intern to be self-motivated to complete research and hands-on tasks in the lab. During their time here, they would complete research on the current state-of-the-art technology and present their findings. In addition, they will spend most of their time..."
54,Space Architecture Development Intern,The Mars Habitation and Lunar Surface Human Systems and Habitation Integration leads are looking for interns to research and perform trade studies and analyses that would inform the Lunar/Mars Architectures. A main project will be assigned for the summer along with any additional side tasks that may need some additional help. We are looking for students interested in learning about human explorati...
55,Space Physical Sciences Internship - Summer 2025,"The Space Physical Sciences (SPS) Internship Program provides undergraduate and graduate students with professional experience in the following physical science disciplines: Fluid Physics, Combustion Science and Soft Matter within NASA Glenn’s ISS Research Program. See this link to learn more about the current and past experiments that may be part of this internship: https://www1.grc.nasa.gov..."
56,Glenn High School Physical Sciences and Technologies Internship (Summer 2025),"The student will be supporting one or more of the following areas based on their background and experience level: 1) The Physical Sciences Informatics (PSI) system is an online database of past and current physical science ISS flight experiments. NASA has a backlog of experimental data that is needed to be converted and organized from paper logs, CDs, etc. and put on media to be uploaded onto ..."
57,Web-based Aeronautics site and simulations support - Summer 2025,NASA Glenn has numerous web-based simulation programs within their Beginner's Guide to Aeronautics (BGA) website series that are currently using outdated applets that no longer run correctly. An Application Programming Interface (API) has been found that will convert the applets to javascript. The intern may have opportunities to convert the simpler applets written in Java using the AWT library t...
58,Front & Back End Support of Web Based Inventory Mgmt System (Summer 2025),"NASA Glenn has an online Inventory Management System (IMP) that allows the bonded storage team to consolidate, maintain, and display a digitized version of their current inventory records. It was redesigned in the Fall 2024 using Django and Python and the Spring 2025 intern will continue these activities. It is expected that by the Summer 2025 final testing by users and input of inventory will b..."
59,Composite Manufacturing - Sustainable Materials,"NASA's Sustainable Manufacturing of Aircraft project is working to advance the use of natural, recyclable, and biobased materials for aerospace applications. The goals of this internship include manufacture of test coupons using selected sustainable materials, characterization of the composite quality and fiber/matrix interface, and mechanical testing."
60,Flat Floor Robotics Lab Simulations,The FFRL supports a variety of different types of dynamic simulations and tests include assembling a Laser profile scanner to measure & map 20-200 micron high Epoxy bumps or assembling steerable CubeSat simulators to tug out a power Tether to capture & service Satellites or weld structures together with Laser Beam Welders
61,SCaN Data Analysis for Laser Communications,"The Laser Communications Relay Demonstration (LCRD) aims to showcase the unique capabilities of laser (optical) communications. Laser communications will provide significant benefits for missions, including bandwidth increases of 10 to 100 times more than radio frequency systems. Laser communications decrease size, weight, and power requirements. The LCRD system includes a payload, hosted ab..."
62,NASA KSC Exploration Station,"Join the vibrant team at the NASA Kennedy Space Center (KSC) Exploration Station located at The Center for Space Education. In this role, you will actively support outreach initiatives by assisting in the development and implementation of STEM-focused programs for K-12 students. Your tasks will involve preparing materials and resources, aiding in the facilitation of interactive workshops and demon..."
63,SCaN Antenna Test Chamber Upgrade,"The intern will write and test Python code to implement calibration and measurement procedures for the NASA Goddard Space Flight Center antenna test chamber. The antenna chamber currently uses a custom software built in LabVIEW, and an effort is in progress to redevelop and improve the software in Python. **This internship is on-site only as the intern will need physical access in order to tes..."
64,Planetary Missions Program Office Communications and Outreach,"Have you ever wondered how our solar system formed and evolved? What are the hazards? Is there life beyond Earth? NASA is exploring our solar system and beyond to answer these age-old questions. We're launching spacecraft to asteroids, moons, and planets beyond Earth. We're using science to unlock their secrets. And we're sharing what we learn, freely and openly, for the good of life on Earth. NA..."
65,Microsoft Power Platform Developer,"This opportunity will focus on developing a variety of Microsoft Power Platform solutions to significantly improve business processes and empower users to make data-informed decisions. This internship will support an Agency-wide goal to develop interactive Power Platform tools that simplify complex processes and present data analytics in a user-friendly format. Ideally, a candidate for this positi..."
66,Aerospace Supply Chain Analysis,"The supply chain analysis of the aerospace industry is a complex endeavor with multiple facets including data collection/curation, transformation, and scalable analytics. Our project aims to build a novel tool at NASA that is able to integrate disparate data sources to extract supply chain risk and uncertainties. Our internship tasks span data procurement that will provide exposure to complex supp..."
67,Lightweight Structural Design,"The Mass Mitigation Project (MMP) has demonstrated that assuming that dynamic loads are static in the structural analysis process can result in significant conservatism in the structural design. The underlying premise is that that the amplitude of motion in structural vibrations is a function of frequency. As one goes up in frequency, for a given load, displacement goes down exponentially and ther..."
68,Software Engineering for Machine Learning and Uncertainty Quantification,"Seeking motivated candidates for software engineering positions. The project entails software engineering work on some of NASA's open-source Python libraries (github.com/nasa/bingo, github.com/nasa/smcpy, github.com/nasa/MXMCPy) as well as non-public NASA software. Software applications may include machine learning, data science, uncertainty quantification, high-performance computing, and high-t..."
69,TEMPO Student Collaboration,"The Tropospheric Emissions: Monitoring of Pollution (TEMPO) Student Collaboration provides the opportunity for students to participate in atmospheric science research associated with NASA TEMPO satellite mission. Students will evaluate multiple small sensors for measurements of ozone, nitrogen dioxide, aerosol and UVB to determine their usefulness in providing ground truth for TEMPO. The small sen..."
70,Sitting Bull College: TEMPO SC,"This opportunity is intended for students affiliated with the Sitting Bull College MUREP MIRO Program. The Tropospheric Emissions: Monitoring of Pollution (TEMPO) Student Collaboration provides the opportunity for students to participate in atmospheric science research associated with NASA TEMPO satellite mission. Students will evaluate multiple small sensors for measurements of ozone, nitrogen di..."
71,Propulsion System Modelling,The student will work with experienced engineers to learn how to create 0-D models of advanced propulsions systems. Student will create thermodynamic models based on high level inputs and turbomachinery performance maps. These models will be used to determine the feasibility of different advanced aerospace systems. These models will also be used to determine the benefit of individual technologi...
72,Design of frequency selective surfaces (FSSs) and antennas for sensing,"The intern would help in designing and creating antennas and frequency selective surfaces on PCB boards and/or flexible substrates, then performing testing to help evaluate the performance. Both tasks are in support of efforts to develop technologies based on FSS and antennas for sensing."
73,Pressure System Mechanical Integrity,"The student will support the NASA Pressure System Manager. The student will also interact with the Bastion Pressure System Manager, Piping Engineer, Pressure Vessel Engineer, American Petroleum Institute (API) piping and vessels inspectors, and Nondestructive Testing (NDE) technicians. The student may participate in pressure system certification and examination efforts; may perform field work coll..."
74,Data Analytics Summer 2025,"The Resource Management and Integration Office of the Center Operation Directorate is seeking an intern who will assist the Business Manager and his staff in the collection, integration, and analysis of diverse data sets including but limited to technical, financial, and risk information. Intern will use data to identify trends and key metric drivers that will provide insight to management and oth..."
75,Tribological study of materials to resist the moon and martian environments,"The main objective of this internship is to learn how to operate the UMT Tribolab and the different accessories to perform Tribological tests for a variety of system configurations to test materials in the presence of lunar dust. During this internship, the intern will be involved in hands-on work and will be able to collaborate with Engineers to design and perform Tribological tests. This task re..."
76,Avionics and Software Intern,"As part of the Safety and Mission Assurance team at MSFC, you would be working hand in hand with various projects engaging with software quality, software system safety, software reliability and maintainability engineers working with other subject matter experts in the areas of Avionics and Software Assurance."
77,Sustainability & Energy Program Support,"Student will support the Goddard Sustainability & Energy Program Manager at both the Greenbelt and Wallops campuses, and possibly HQ NASA. The work includes research, data collection, writing and communication skills, facility and site surveys, natural resources, energy and water conservation, environmental engineering, pollution prevention and recycling strategies, climate change adaptation, and..."
78,Microwave AeroGel Volatile Collector (MAGVC) Gas Collection Study,Intern will primarily support the Microwave AeroGel Volatile Collector (MAGVC) Gas and Water Capturing Study. In-situ Resource Utilization (ISRU) technology capable of extracting and repurposing extraterrestrial resources is vital to realizing NASA’s Moon to Mars objectives of human establishment on the lunar surface. The ability to extract key volatiles such as hydrogen and oxygen from the luna...
79,Evaluate Architecture and Protocols for Wireless Networks for Space,"This is an in-person internship, an on-site position at NASA Johnson Space Center in Houston, TX. The Intern will be performing laboratory and field work related to characterizing wireless networks for space, technologies likely to include Wi-Fi 5, Wi-Fi 6, LTE 4G, 5G, Wi-Fi HaLow, and Wi-Gig"
80,Engineering at Armstrong Flight Research Center- Summer 2025,Armstrong Flight Research Center’s agile engineering and research organizations employ a wide range of disciplines to accomplish our mission of atmospheric flight research and science operations including: flight operations; mechanical design; systems engineering; aerodynamics; propulsion; meteorology; dynamics and controls; systems development; instrumentation; avionics; software development; po...
81,SU25 PMDs,"NASA maintains a strong desire to develop technology that will enable future in-space cryogenic propulsion systems. Of interest in the current project is the ability to acquire single phase liquid from a storage tank to a customer receiver tank or an engine. The separation of liquid and vapor phases is governed by the lowest achievable potential energy state. In microgravity, where the liquid/vapo..."
82,SU25 Propellant Transfer,"NASA maintains a strong desire to develop technology that will enable future in-space cryogenic propulsion systems. Using a cryogenic fuel depot as an example, the in-space propellant transfer process can be divided into various phases: (1) pressurization of the supply tank, (2) acquisition of liquid from the supply tank, (3) chilldown of the transfer line that connects the two tanks, (4) chilldow..."
83,SU25 Superconducting,"NASA maintains a strong desire to develop technology that will enable future hybrid electric aircraft. Why electric? There are fewer emissions, less atmospheric heat release, quieter flight, better energy conservation, and more reliable systems. Currently, the largest contributor to fuel consumption is the large single aisle class. One particular electric aircraft vehicle concept of interest is th..."
84,Orion Engineering Internship,"The Orion Program Office at Johnson Space Center in Houston is seeking engineering interns to work on various projects related to the design, development, and testing of NASA's new Orion spacecraft."
85,Human Landing System (HLS)-GNC LIDAR AI/ML Navigation Development and Testing,"Student will help to design, develop, implement, and test systems for robotic quadrotor and/or rover navigation and guidance, or AI/ML assisted backpack-mounted mapping solutions. This includes working on using off-the-shelf technology such as inertial measurement units, real-time lidar, or other techniques to capture capabilities and performance for a lunar or terrestrial terminal descent (simu..."
86,Directed Energy Deposition Additive Manufacturing Engineering,"Assist in the development and maturation of large scale AM using DED. This includes developing unique test scenarios and experiments to characterize DED process limitations and defect structures. This effort will culminate in maturing NASA’s qualification and certification methodology for DED processing in accordance with NASA-STD-6030, and the compilation of recommendations for next revision to ..."
87,Additive Manufacturing Lab Integrator,"Develop processes and procedures for managing historical data and methods for capturing lessons learned across multiple AM materials and processes, both metallic and non-metallic. This project will serve to collate years of research and best practices into consolidated documents that can be leveraged for flight programs implementing additively manufactured components."
88,Sustainable Composite Materials for Aircraft,"Our planet is undergoing significant and concerning changes, marked by rising temperatures, increasingly severe storms, and other concrete indicators. Without decisive action, we may approach a critical threshold beyond which the damage to our environment becomes irreversible. In response to this urgent challenge, NASA is committed to pioneering technological innovations that can shift our depende..."
89,Virtual - Analysis of Observational and Modeling Data of the Sun and Stars,"Project Description The project aims to investigate the turbulent dynamics of the Sun and stars using observational data and 3D radiative MHD models from the deep interiors to the atmosphere. Projects may include analysis of 3D numerical models and observations from NASA space missions (SDO, SoHO, Hinode, Kepler, TESS) using NASA Ames supercomputing system and developing codes for modeling and da..."
90,Uncertainty Quantification and MDAO for Next Generation Aircraft Concepts,"To realize the goals of the U.S. Aviation Climate Action plan of achieving net-zero greenhouse gas emissions of aircraft by 2050, unconventional aircraft and new technologies will likely be leveraged. There are a significant number of uncertainties associated with new aircraft types and yet-to-be developed technologies. To better understand the potential impact of new aircraft and technologies, ..."
91,Flight Software Development,"Software development in support of crew exercise systems on the International Space Station and future exploration missions like Artemis. Development of custom device-agnostic, one interface software system (including user interface) capable of easily integrating new crew exercise systems with biomedical sensors integration, VR and other capabilities. Development of a virtual exercise training sof..."
92,Flight Hardware & Software Development,"Hardware & Software development in support of crew exercise systems on the International Space Station and future exploration missions like Artemis. Intern applicants can work hardware or software or both based on skill set and interests. -Hardware- Development of human health countermeasure systems, possibly including musculoskeletal and sensorimotor trainers. Efforts from the intern will li..."
93,Software Assurance,"The student will support the NASA Software Safety and Assurance Manager. The student will also interact with the S3 Software Safety and Assurance, and the Bastion Technologies Software Safety and Assurance. The student may participate in the software development lifecycle; may perform software assurance audits; may perform engineering reviews of software designs and design changes; may analyze sof..."
