ID,Title,Description,URL,Type
19,Supercomputing of Advanced Air Vehicles,"The high-fidelity Computational Fluid Dynamics (CFD) team at the computational physics branch within the NASA Advanced Supercomputing Division is seeking summer interns to assist in the study, design, and development of future advanced air mobility vehicles. Using NASA’s supercomputers, interns will support geometry development, computational analysis, and post-processing for different multi-rotor...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ00000079RZ2AY/supercomputing-of-advanced-air-vehicles,Student
20,The PolCube CubeSat polarimeter,"A student will learn to run and apply the PolCube-MAPP algorithm to study sensitivity to spherical and non-spheroidal aerosols from the future PolCube satellite instrument. Polarimetry is a passive, remote-sensing technique that provides unparalleled capabilities for characterizing atmospheric aerosols. Aerosol particles in the atmosphere are highly variable and depend greatly upon their source (e...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000AKTj2AO/the-polcube-cubesat-polarimeter,Student
21,DFR - Analysis of Risks and Hazards in Operational Approvals and Procedures,"Emerging aviation includes the use of small Unmanned Aerial Systems (UAS) in novel operations. The manufacture and operation of these small UAS are not as regulated as today’s commercial operation, and their widespread use introduces new risks and hazards to the general public. Today, there are case-by-case approvals for sUAS operations, particularly for emergency response operations in which the ...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Bmir2AC/dfr---analysis-of-risks-and-hazards-in-operational-approvals-and-procedures,Student and Educator
22,ASRS - Mining Emerging Safety Threats in the NASA Aviation Safety Reporting,"The NASA Aviation Safety Reporting System (ASRS) is a voluntary confidential aviation safety reporting system. The ASRS receives reports from pilots, air traffic controllers, flight attendants and others involved in aviation operations which reports are subsequently de-identified and coded by ASRS expert safety analysts. The goal of this project is to identify, evaluate and improve existing proces...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000BmkT2AS/asrs---mining-emerging-safety-threats-in-the-nasa-aviation-safety-reporting,Student
23,UAMC - Identifying Highways in the Skies for Urban Air Mobility,"Urban centers have begun encouraging novel aviation missions to transport goods and people for relatively short distances and at low altitudes over dense populations. These novel aviation missions, known collectively as Urban Air Mobility or UAM, require community consensus and potentially airspace rules in order to enable the scale of operations that are envisioned. Small piloted air vehicles tha...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Bmm52AC/uamc---identifying-highways-in-the-skies-for-urban-air-mobility,Student
24,ESEA - Equity Strategies for Emerging Aviation,"Recent advances in electric propulsion and automation have enabled emerging aviation concepts that have the potential to radically change the way people and cargo move from place to place. Current startup companies in the United States are proposing: * passenger-carrying air vehicles that can move people between different urban areas 2-10 times faster than today’s transportation, at lower envir...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Bmnh2AC/esea---equity-strategies-for-emerging-aviation,Student
25,Battery Material Intern,"Batteries are electrochemical devices that convert chemical energy into electrical energy and are an important technology for providing mobile electric power. Future NASA aerospace and planetary exploration missions will require advanced aerospace power technologies to provide safe, reliable, and highly efficient electrical power and next generation batteries pose a promising solution for providin...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000CS6z2AG/battery-material-intern,Student
26,Onsite - Small Satellite Platform Development and Modeling Intern,The scope of this project is to develop a platform to fly small spacecrafts to perform scientific experiments and technology development activities aboard aircrafts. This capability will provide a platform to supplement or provide additional capabilities to that of balloon or suborbital flights. The small satellite payloads will be mounted to the aircraft via a carrier to achieve the maximum scien...,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000EQSU2A4/onsite---small-satellite-platform-development-and-modeling-intern,Student
27,Virtual: Machine Learning for Multi-Sensor Fire and Smoke Detection in ODIN,We are looking for an intern with experience in machine learning and computer science to help improve existing smoke and fire detection. Ideal candidate is passionate about mitigating the effects of wildfires and experienced with building computer vision and image processing machine learning models. The specific problem will involve: building camera specific models for smoke/fire detection using a...,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000ERmj2AG/virtual-machine-learning-for-multi-sensor-fire-and-smoke-detection-in-odin,Student
28,Virtual - Small Satellite Costing Model Development,"The scope of this project is to develop a web-based small satellite costing model application to assist those in academia, industry, and government to develop a budget to accompany a proposal to a NASA solicitation where the project is related to small satellite mission, technology, and/or instrument development. The intent of this web application is to help enable potential Principal Investigator...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000ETLV2A4/virtual---small-satellite-costing-model-development,Student
29,Gateways to Blue Skies Aeronautics Internship,"To be considered for this position, students must be on a team selected as a finalist in the 2024 Gateways to Blue Skies: Advancing Aviation for Natural Disasters competition. View details of Gateways to Blue Skies (aka, Blue Skies) at www.blueskies.nianet.org. In 2024, the Blue Skies competition challenged teams of university-level students to conceptualize, in terms of feasibility and viability,...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000EpKP2A0/gateways-to-blue-skies-aeronautics-internship,Student
30,Sustainable Composite Materials for Aircraft,"Our planet is undergoing significant and concerning changes, marked by rising temperatures, increasingly severe storms, and other concrete indicators. Without decisive action, we may approach a critical threshold beyond which the damage to our environment becomes irreversible. In response to this urgent challenge, NASA is committed to pioneering technological innovations that can shift our depende...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000HkUf2AK/sustainable-composite-materials-for-aircraft,Student
31,Orion Backup Flight Software Internship,"As an intern on the Orion Backup Flight Software (BFS) team, you will be responsible for testing flight software algorithms for the Orion Backup Flight Software system. You will be responsible for learning the applicable software requirements, understanding the integrated system design, and learning the toolchains associated with development and testing of software. The particular tasking is flexi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000IzrR2AS/orion-backup-flight-software-internship,Student
32,Materials Processing for Space Nuclear Propulsion,"This hands-on opportunity involves processing, characterizing, and testing novel materials for NASA Space Nuclear Propulsion applications. Experience with nuclear materials in not a requirement. The EM32 Advanced Processes team is looking for a few candidates to fabricate fuel and surrogate fuel materials into elements. The elements will then be characterized and tested in our onsite laboratori...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000J32D2AS/materials-processing-for-space-nuclear-propulsion,Student
33,Development of Materials and Manufacturing Processes for Space Flight Structures,"Development of Materials and Processes for In Space Manufacturing, Habitation, and Launch Vehicle Applications. This hands-on opportunity involves the development of materials and processes for In-Space Manufacturing, Habitation, and Launch Vehicle Applications. The opportunity involves hands-on development in a laboratory or large-scale manufacturing environment. The intern may be exposed to...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000J38f2AC/development-of-materials-and-manufacturing-processes-for-space-flight-structures,Student
34,Remote Sensing for Disaster Applications - On-site,"The Earth Science Branch at Marshall Space Flight Center has supported the use of remote sensing and other NASA information in response to natural hazard monitoring and disaster response since 2011, and continues this work in support of NASA's Disaster Response Coordination System, or DRCS. To address disaster response needs, Marshall scientists engage in a number of research and application deve...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000J70z2AC/remote-sensing-for-disaster-applications---on-site,Student
35,Remote Sensing for Disaster Applications - Virtual,"The Earth Science Branch at Marshall Space Flight Center has supported the use of remote sensing and other NASA information in response to natural hazard monitoring and disaster response since 2011, and continues this work in support of NASA's Disaster Response Coordination System, or DRCS. To address disaster response needs, Marshall scientists engage in a number of research and application deve...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000J7Ij2AK/remote-sensing-for-disaster-applications---virtual,Student
36,"Office of Technology, Policy, and Strategy - Technology Internship Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000JspV2AS/office-of-technology-policy-and-strategy---technology-internship-summer-2025,Student
37,Materials Engineering - Extrusion & Characterization Thermoplastic Composites,"An impending shift in high voltage cable insulation technologies available to NASA engineers necessitates the development of new materials to address existing technology gaps. As a result of growing PFAS bans, materials and products containing fluorinated compounds that took decades worth of data to qualify for aerospace applications will no longer be commercially available. The development of hea...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000JumT2AS/materials-engineering---extrusion-characterization-thermoplastic-composites,Student
38,Aircraft Design and Optimization in Aviary,"NASA has released an open-source aircraft design and optimization tool called Aviary (https://github.com/OpenMDAO/Aviary). Over the course of this internship, students will use Aviary to model novel and traditional aircraft or aircraft subsystems, test Aviary features, and contribute to Aviary software development by filling bug reports and submitting fixes. Examples of the work that previous inte...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000JuzN2AS/aircraft-design-and-optimization-in-aviary,Student
39,"Office of Technology, Policy, and Strategy - Policy Internship Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Jx1B2AS/office-of-technology-policy-and-strategy---policy-internship-summer-2025,Student
40,"Office of Technology, Policy, and Strategy - Economic Analysis Summer 2025","NASA’s Office of Technology, Policy, and Strategy (OTPS) provides data and evidence-driven advice to NASA leadership to assure an integrated enterprise approach to technology, policy, and strategy. OTPS maintains awareness of critical emerging issues, both internal and external to the Agency, and supports and promotes the Administration's and NASA leadership's top policy agenda and priorities by p...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000K11Z2AS/office-of-technology-policy-and-strategy---economic-analysis-summer-2025,Student
41,Avionics and Software Intern,"As part of the Safety and Mission Assurance team at MSFC, you would be working hand in hand with various projects engaging with software quality, software system safety, software reliability and maintainability engineers working with other subject matter experts in the areas of Avionics and Software Assurance.",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Nej72AC/avionics-and-software-intern,Student
42,Sustainability & Energy Program Support,"Student will support the Goddard Sustainability & Energy Program Manager at both the Greenbelt and Wallops campuses, and possibly HQ NASA. The work includes research, data collection, writing and communication skills, facility and site surveys, natural resources, energy and water conservation, environmental engineering, pollution prevention and recycling strategies, climate change adaptation, and...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000OGEv2AO/sustainability-energy-program-support,Student
43,Microwave AeroGel Volatile Collector (MAGVC) Gas Collection Study,Intern will primarily support the Microwave AeroGel Volatile Collector (MAGVC) Gas and Water Capturing Study. In-situ Resource Utilization (ISRU) technology capable of extracting and repurposing extraterrestrial resources is vital to realizing NASA’s Moon to Mars objectives of human establishment on the lunar surface. The ability to extract key volatiles such as hydrogen and oxygen from the luna...,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000OIyH2AW/microwave-aerogel-volatile-collector-magvc-gas-collection-study,Student
44,Evaluate Architecture and Protocols for Wireless Networks for Space,"This is an in-person internship, an on-site position at NASA Johnson Space Center in Houston, TX. The Intern will be performing laboratory and field work related to characterizing wireless networks for space, technologies likely to include Wi-Fi 5, Wi-Fi 6, LTE 4G, 5G, Wi-Fi HaLow, and Wi-Gig",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000PUR72AO/evaluate-architecture-and-protocols-for-wireless-networks-for-space,Student
45,Engineering at Armstrong Flight Research Center- Summer 2025,Armstrong Flight Research Center’s agile engineering and research organizations employ a wide range of disciplines to accomplish our mission of atmospheric flight research and science operations including: flight operations; mechanical design; systems engineering; aerodynamics; propulsion; meteorology; dynamics and controls; systems development; instrumentation; avionics; software development; po...,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000PjGT2A0/engineering-at-armstrong-flight-research-center--summer-2025,Student
46,SU25 PMDs,"NASA maintains a strong desire to develop technology that will enable future in-space cryogenic propulsion systems. Of interest in the current project is the ability to acquire single phase liquid from a storage tank to a customer receiver tank or an engine. The separation of liquid and vapor phases is governed by the lowest achievable potential energy state. In microgravity, where the liquid/vapo...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Q61l2AC/su25-pmds,Student
47,SU25 Propellant Transfer,"NASA maintains a strong desire to develop technology that will enable future in-space cryogenic propulsion systems. Using a cryogenic fuel depot as an example, the in-space propellant transfer process can be divided into various phases: (1) pressurization of the supply tank, (2) acquisition of liquid from the supply tank, (3) chilldown of the transfer line that connects the two tanks, (4) chilldow...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Q6Y12AK/su25-propellant-transfer,Student
48,SU25 Superconducting,"NASA maintains a strong desire to develop technology that will enable future hybrid electric aircraft. Why electric? There are fewer emissions, less atmospheric heat release, quieter flight, better energy conservation, and more reliable systems. Currently, the largest contributor to fuel consumption is the large single aisle class. One particular electric aircraft vehicle concept of interest is th...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000Q88P2AS/su25-superconducting,Student
49,Orion Engineering Internship,"The Orion Program Office at Johnson Space Center in Houston is seeking engineering interns to work on various projects related to the design, development, and testing of NASA's new Orion spacecraft.",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000QBuH2AW/orion-engineering-internship,Student
50,Human Landing System (HLS)-GNC LIDAR AI/ML Navigation Development and Testing,"Student will help to design, develop, implement, and test systems for robotic quadrotor and/or rover navigation and guidance, or AI/ML assisted backpack-mounted mapping solutions. This includes working on using off-the-shelf technology such as inertial measurement units, real-time lidar, or other techniques to capture capabilities and performance for a lunar or terrestrial terminal descent (simu...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000QFD72AO/human-landing-system-hls-gnc-lidar-aiml-navigation-development-and-testing,Student
51,Directed Energy Deposition Additive Manufacturing Engineering,"Assist in the development and maturation of large scale AM using DED. This includes developing unique test scenarios and experiments to characterize DED process limitations and defect structures. This effort will culminate in maturing NASA’s qualification and certification methodology for DED processing in accordance with NASA-STD-6030, and the compilation of recommendations for next revision to ...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000QMhd2AG/directed-energy-deposition-additive-manufacturing-engineering,Student
52,Additive Manufacturing Lab Integrator,"Develop processes and procedures for managing historical data and methods for capturing lessons learned across multiple AM materials and processes, both metallic and non-metallic. This project will serve to collate years of research and best practices into consolidated documents that can be leveraged for flight programs implementing additively manufactured components.",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000QMo52AG/additive-manufacturing-lab-integrator,Student
53,Sustainable Composite Materials for Aircraft,"Our planet is undergoing significant and concerning changes, marked by rising temperatures, increasingly severe storms, and other concrete indicators. Without decisive action, we may approach a critical threshold beyond which the damage to our environment becomes irreversible. In response to this urgent challenge, NASA is committed to pioneering technological innovations that can shift our depende...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000QYu52AG/sustainable-composite-materials-for-aircraft,Student
54,Sounding Rockets Program Support of Office Processes,"This internship position will support two organizations at NASA Wallops Flight Facility in Virginia – the NASA Wallops Education Office and the NASA Sounding Rockets Program Office. Support for the Wallops Education Office includes multiple student outreach events and activities throughout the summer. The interns will be expected to help with planning, coordinating, and providing hands-on assi...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000S3ZF2A0/sounding-rockets-program-support-of-office-processes,Student
55,NASA Wallops Island Visitor Center Internship: Developing Narratives in Space Ex,"NASA Wallops Island Visitor Center Internship: Developing Narratives in Space Exploration Your mission at the Wallops Visitor Center will include: 1. Designing and Executing Outreach Activities: Immerse yourself in the exhilarating world of space exploration and STEM education. Create and lead outreach programs that bring the excitement of rocket launches and space exploration to the public, s...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000S5rB2AS/nasa-wallops-island-visitor-center-internship-developing-narratives-in-space-ex,Student
56,Virtual - Analysis of Observational and Modeling Data of the Sun and Stars,"Project Description The project aims to investigate the turbulent dynamics of the Sun and stars using observational data and 3D radiative MHD models from the deep interiors to the atmosphere. Projects may include analysis of 3D numerical models and observations from NASA space missions (SDO, SoHO, Hinode, Kepler, TESS) using NASA Ames supercomputing system and developing codes for modeling and da...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000ShLN2A0/virtual---analysis-of-observational-and-modeling-data-of-the-sun-and-stars,Student
57,Strategic Management Data Analysis & SharePoint Online Integrator,"Take advantage of this unique opportunity to develop interesting data integration products and to stand-up a new intranet SharePoint Online presence for the Strategic Management arm of the Marshall Space Flight Center (MSFC). Do you enjoy building queries, parsing data, building presentations, and using data creatively to present information to others? Then this exciting opportunity is for you. Yo...",https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000uIdN2AU/strategic-management-data-analysis-sharepoint-online-integrator,Student
58,"Thermosphere Nano-sat Spectrometer HW and Systems Development for the TES-21,22","This project is a FT on-site internship working on the design, fabrication, programming, for a Thermosphere Test Probe in a nano-satellite format. It is to be launched later in 2024 on a Falcon 9 mission. Also, there is a related Entry Test Probe in development . Preferred candidates will be a UG junior/senior, or G student, and have experience in scientific and micro-processor programming (in...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000023trPEAQ/thermosphere-nano-sat-spectrometer-hw-and-systems-development-for-the-tes-2122,Student
59,SMA Systems Engineer (Summer 2025),"The potential intern will work within the Safety & Mission Assurance (SMA) Directorate’s innovative and technically diverse, Quality & Flight Equipment Division (NT). The new team member will gain an understanding of the SMA mission while contributing to meaningful projects in support of JSC’s newest and most exciting Programs and Projects. Interns will be challenged to innovate and improve sever...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000026mtAEAQ/sma-systems-engineer-summer-2025,Student
60,Aeronautics at Ames Research Center Summer 2025,"Ames Aeronautics Overview The Aeronautics Directorate is enabling dramatic improvements in aeronautics during the 21st century. For decades, the Directorate has developed and transferred new technologies that directly benefit the entire aviation community, including the public. Aeronautics improvements will be particularly important over the next several decades because of the increased number o...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027DxPEAU/aeronautics-at-ames-research-center-summer-2025,Student
61,Explorations Technology at Ames Research Center Summer 2025,"The Exploration Technology Directorate invents, develops, and implements technologies that NASA uses to gather scientific knowledge and explore space. Our four divisions provide leadership in information technology and computational science, deliver advanced human-centered software solutions for space exploration and aviation, provide supercomputing and other advanced computing services to NASA-fu...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027E49EAE/explorations-technology-at-ames-research-center-summer-2025,Student
62,Science Internship at Ames Research Center Summer 2025,"NASA's Ames Research Center Science Directorate conducts basic and applied research, and technology development, in support of NASA astrobiology, astrophysics, planetary sciences, biological sciences and Earth sciences. We are home to NASA’s Mars Climate Modeling Center and the NASA Earth Exchange. Students may apply to work in any of our 3 core research divisions: Earth Sciences, Space Bioscienc...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027E7aEAE/science-internship-at-ames-research-center-summer-2025,Student
63,Data & Analytics Intern,"About AETC: The Aerosciences Evaluation and Test Capabilities (AETC) Portfolio Office executes strategic efforts to preserve and enhance research and test capabilities for NASA’s world-class portfolio of national wind tunnel facilities. AETC assets include capabilities in the subsonic, transonic, supersonic, hypersonic speed regimes and propulsion test facilities at the Ames, Glenn, and Langley R...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027hbtEAA/data-analytics-intern,Student
64,"Test, Project, or Design Engineer","Support the Systems Test Branch (EC4) at the Johnson Space Center as a project engineer providing unique solutions to test NASA mission hardware and improve laboratories to meet agency future goals. EC4 has a variety of facilities to test hardware and is unique in supporting human exploration and hazardous testing of humans (astronauts and test subjects) in our thermal, vacuum, and space simulatio...",https://stemgateway.nasa.gov/s/course-offering/a0B3d0000028Dm5EAE/test-project-or-design-engineer,Student
